exercise_id,exercise_name,primary_muscle,secondary_muscles,equipment,category,difficulty,met_value,sets_beginner,reps_beginner,sets_intermediate,reps_intermediate,sets_advanced,reps_advanced,rest_seconds,contraindications,is_compound,is_bodyweight,calorie_burn_30min,video_cue
33,Overhead Tricep Extension,Triceps,None,Dumbbells,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,"Elbow pain, Shoulder injury",0,0,122,Search: 'Overhead Tricep Extension proper form' for technique guidance
34,Cable Fly,Chest,Front Delt,Cable Machine,Strength,Beginner,4.5,3,8-12,4,6-10,5,4-8,90,Shoulder impingement,0,0,158,Search: 'Cable Fly proper form' for technique guidance
35,Dumbbell Fly,Chest,Front Delt,Dumbbells,Strength,Beginner,4.5,3,8-12,4,6-10,5,4-8,90,"Shoulder impingement, Rotator cuff",0,0,158,Search: 'Dumbbell Fly proper form' for technique guidance
36,Lateral Raise,Lateral Delt,Traps,Dumbbells,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,Shoulder impingement (keep below 90°),0,0,122,Search: 'Lateral Raise proper form' for technique guidance
37,Cable Lateral Raise,Lateral Delt,Traps,Cable Machine,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,Shoulder impingement,0,0,122,Search: 'Cable Lateral Raise proper form' for technique guidance
38,Rear Delt Fly,Rear Delt,Rhomboids,Dumbbells,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,None,0,0,122,Search: 'Rear Delt Fly proper form' for technique guidance
39,Face Pull,Rear Delt,"External Rotators, Traps",Cable Machine,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,Shoulder impingement (use light weight),0,0,122,Search: 'Face Pull proper form' for technique guidance
40,Upright Row,Traps,Lateral Delt,Barbell,Strength,Intermediate,5.0,3,8-12,4,6-10,5,4-8,120,"Shoulder impingement, Rotator cuff",0,0,175,Search: 'Upright Row proper form' for technique guidance
41,Barbell Shrug,Traps,Neck,Barbell,Strength,Beginner,4.5,3,8-12,4,6-10,5,4-8,90,"Neck injury, Cervical spondylosis",0,0,158,Search: 'Barbell Shrug proper form' for technique guidance
42,DB Shrug,Traps,Neck,Dumbbells,Strength,Beginner,4.0,3,8-12,4,6-10,5,4-8,90,Neck injury,0,0,140,Search: 'DB Shrug proper form' for technique guidance
43,Leg Extension,Quadriceps,None,Machine,Strength,Beginner,4.5,3,8-12,4,6-10,5,4-8,90,"Patellofemoral pain, ACL injury, Knee impingement",0,0,158,Search: 'Leg Extension proper form' for technique guidance
44,Leg Curl (seated),Hamstrings,None,Machine,Strength,Beginner,4.5,3,8-12,4,6-10,5,4-8,90,"Hamstring Grade II+ strain, Knee surgery",0,0,158,Search: 'Leg Curl (seated) proper form' for technique guidance
45,Leg Curl (lying),Hamstrings,Glutes,Machine,Strength,Beginner,4.5,3,8-12,4,6-10,5,4-8,90,Hamstring Grade II+ strain,0,0,158,Search: 'Leg Curl (lying) proper form' for technique guidance
46,Leg Press,Quadriceps,"Glutes, Hamstrings",Machine,Strength,Beginner,6.5,3,8-12,4,6-10,5,4-8,90,"Knee injury (deep), Lower back disc",0,0,228,Search: 'Leg Press proper form' for technique guidance
47,Smith Machine Squat,Quadriceps,"Glutes, Hamstrings",Smith Machine,Strength,Beginner,7.0,3,8-12,4,6-10,5,4-8,90,"Knee pain, Lower back injury",0,0,245,Search: 'Smith Machine Squat proper form' for technique guidance
48,Hip Adduction Machine,Adductors,None,Machine,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,"Groin strain, Hip injury",0,0,122,Search: 'Hip Adduction Machine proper form' for technique guidance
49,Hip Abduction Machine,Abductors,Glutes,Machine,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,Hip injury,0,0,122,Search: 'Hip Abduction Machine proper form' for technique guidance
50,Seated Calf Raise,Soleus,Gastrocnemius,Machine,Strength,Beginner,3.5,3,8-12,4,6-10,5,4-8,90,"Achilles tendinopathy (early), Plantar fasciitis (acute)",0,0,122,Search: 'Seated Calf Raise proper form' for technique guidance
51,Standing Calf Raise,Gastrocnemius,Soleus,Machine,Strength,Beginner,4.0,3,8-12,4,6-10,5,4-8,90,"Achilles tendinopathy (early), Calf strain",0,0,140,Search: 'Standing Calf Raise proper form' for technique guidance
52,Wrist Curl,Forearm Flex,None,Dumbbells,Strength,Beginner,2.5,3,8-12,4,6-10,5,4-8,90,"Tennis elbow, Carpal tunnel, De Quervain's",0,0,88,Search: 'Wrist Curl proper form' for technique guidance
53,Wrist Extension,Forearm Ext,None,Dumbbells,Strength,Beginner,2.5,3,8-12,4,6-10,5,4-8,90,Tennis elbow (load carefully),0,0,88,Search: 'Wrist Extension proper form' for technique guidance
54,Plank,Core,"Shoulders, Glutes",None,Core,Beginner,4.0,3,30s-60s,4,45s-90s,5,60s-120s,90,"Wrist pain (use fist position), Severe lower back pain",0,1,140,Search: 'Plank proper form' for technique guidance
55,Side Plank,Obliques,"Core, Hip Abductors",None,Core,Beginner,4.0,3,30s-60s,4,45s-90s,5,60s-120s,90,"Shoulder injury, Wrist pain",0,1,140,Search: 'Side Plank proper form' for technique guidance
56,Dead Bug,Core,Hip Flexors,None,Core,Beginner,3.5,3,30s-60s,4,45s-90s,5,60s-120s,90,None (excellent for lower back rehab),0,1,122,Search: 'Dead Bug proper form' for technique guidance
57,Bird Dog,Core,"Glutes, Lower Back",None,Core,Beginner,3.5,3,30s-60s,4,45s-90s,5,60s-120s,90,None (excellent for lower back rehab),0,1,122,Search: 'Bird Dog proper form' for technique guidance
58,Ab Wheel Rollout,Core,"Lats, Shoulders",Ab Wheel,Core,Advanced,5.0,3,30s-60s,4,45s-90s,5,60s-120s,180,"Lower back disc injury, Shoulder injury",0,0,175,Search: 'Ab Wheel Rollout proper form' for technique guidance
59,Hanging Leg Raise,Lower Abs,"Hip Flexors, Core",Pull-Up Bar,Core,Intermediate,5.0,3,30s-60s,4,45s-90s,5,60s-120s,120,"Shoulder injury, Lower back disc",0,0,175,Search: 'Hanging Leg Raise proper form' for technique guidance
60,Cable Crunch,Abs,Core,Cable Machine,Core,Beginner,4.0,3,30s-60s,4,45s-90s,5,60s-120s,90,Lower back disc injury (avoid spinal flexion),0,0,140,Search: 'Cable Crunch proper form' for technique guidance
61,Russian Twist,Obliques,Core,None,Core,Beginner,4.5,3,30s-60s,4,45s-90s,5,60s-120s,90,Lower back disc injury (rotation stress),0,1,158,Search: 'Russian Twist proper form' for technique guidance
62,V-Up,Core,Hip Flexors,None,Core,Intermediate,4.5,3,30s-60s,4,45s-90s,5,60s-120s,120,"Lower back disc injury, Hip flexor strain",0,1,158,Search: 'V-Up proper form' for technique guidance
63,Crunch,Upper Abs,Core,None,Core,Beginner,3.5,3,30s-60s,4,45s-90s,5,60s-120s,90,"Lower back disc injury, Neck injury",0,1,122,Search: 'Crunch proper form' for technique guidance
64,Sit-Up,Abs,Hip Flexors,None,Core,Beginner,4.0,3,30s-60s,4,45s-90s,5,60s-120s,90,"Lower back disc, Sciatica, Hip flexor strain",0,1,140,Search: 'Sit-Up proper form' for technique guidance
65,Pallof Press,Core,Obliques,Cable Machine,Core,Beginner,3.5,3,30s-60s,4,45s-90s,5,60s-120s,90,None,0,0,122,Search: 'Pallof Press proper form' for technique guidance
66,Landmine Rotation,Obliques,"Core, Shoulders",Barbell,Core,Intermediate,5.0,3,30s-60s,4,45s-90s,5,60s-120s,120,"Shoulder injury, Lower back disc",0,0,175,Search: 'Landmine Rotation proper form' for technique guidance
67,Glute Bridge,Glutes,"Hamstrings, Core",None,Core,Beginner,4.0,3,30s-60s,4,45s-90s,5,60s-120s,90,None (excellent for lower back rehab),0,1,140,Search: 'Glute Bridge proper form' for technique guidance
68,Single-Leg Glute Bridge,Glutes,"Hamstrings, Core",None,Core,Beginner,4.5,3,30s-60s,4,45s-90s,5,60s-120s,90,Knee injury (modify range),0,1,158,Search: 'Single-Leg Glute Bridge proper form' for technique guidance
69,Copenhagen Plank,Adductors,Core,Bench,Core,Advanced,5.0,3,30s-60s,4,45s-90s,5,60s-120s,180,Groin injury,0,0,175,Search: 'Copenhagen Plank proper form' for technique guidance
70,Reverse Crunch,Lower Abs,Core,None,Core,Beginner,3.5,3,30s-60s,4,45s-90s,5,60s-120s,90,Lower back disc injury,0,1,122,Search: 'Reverse Crunch proper form' for technique guidance
71,Treadmill Running,Full Body,Cardiovascular,Machine,Cardio,Beginner,9.8,3,10-15,4,12-20,5,15-25,90,"Knee pain, Plantar fasciitis, Stress fracture, Achilles tendinopathy",1,0,343,Search: 'Treadmill Running proper form' for technique guidance
72,Stationary Cycling,Quadriceps,"Glutes, Cardiovascular",Machine,Cardio,Beginner,6.0,3,10-15,4,12-20,5,15-25,90,Knee pain (adjust seat height),0,0,210,Search: 'Stationary Cycling proper form' for technique guidance
73,Elliptical Trainer,Full Body,Cardiovascular,Machine,Cardio,Beginner,6.5,3,10-15,4,12-20,5,15-25,90,None (low impact),1,0,228,Search: 'Elliptical Trainer proper form' for technique guidance
74,Rowing Machine,Back,"Full Body, Cardiovascular",Machine,Cardio,Intermediate,8.5,3,10-15,4,12-20,5,15-25,120,"Lower back disc, Knee injury",0,0,298,Search: 'Rowing Machine proper form' for technique guidance
75,Swimming,Full Body,Cardiovascular,Pool,Cardio,Beginner,7.0,3,10-15,4,12-20,5,15-25,90,Shoulder injury (use kickboard only),1,0,245,Search: 'Swimming proper form' for technique guidance
76,Jumping Rope,Calves,"Full Body, Cardiovascular",None,Cardio,Beginner,12.0,3,10-15,4,12-20,5,15-25,90,"Knee pain, Plantar fasciitis, Ankle injury",0,1,420,Search: 'Jumping Rope proper form' for technique guidance
77,Box Jump,Quadriceps,"Glutes, Calves, Cardiovascular",Plyo Box,Power,Intermediate,8.0,3,10-15,4,12-20,5,15-25,120,"Knee pain, Ankle injury, Achilles tendinopathy",1,0,280,Search: 'Box Jump proper form' for technique guidance
78,Burpee,Full Body,Cardiovascular,None,HIIT,Intermediate,10.0,3,10-15,4,12-20,5,15-25,120,"Shoulder injury, Lower back disc, Knee pain",1,1,350,Search: 'Burpee proper form' for technique guidance
79,Mountain Climbers,Core,"Shoulders, Cardiovascular",None,HIIT,Beginner,9.0,3,10-15,4,12-20,5,15-25,90,"Wrist pain, Shoulder injury",0,1,315,Search: 'Mountain Climbers proper form' for technique guidance
80,Jumping Jack,Full Body,Cardiovascular,None,Cardio,Beginner,8.0,3,10-15,4,12-20,5,15-25,90,"Knee pain, Ankle injury",1,1,280,Search: 'Jumping Jack proper form' for technique guidance
81,High Knees,Hip Flexors,Cardiovascular,None,HIIT,Beginner,8.0,3,10-15,4,12-20,5,15-25,90,"Knee pain, Hip flexor strain",0,1,280,Search: 'High Knees proper form' for technique guidance
82,Sprint Intervals,Full Body,Cardiovascular,None,HIIT,Advanced,14.0,3,10-15,4,12-20,5,15-25,180,"Hamstring strain, Achilles tendinopathy, Stress fracture",1,1,490,Search: 'Sprint Intervals proper form' for technique guidance
83,Battle Ropes,Shoulders,"Arms, Core, Cardiovascular",Battle Ropes,HIIT,Intermediate,10.0,3,10-15,4,12-20,5,15-25,120,"Shoulder injury, Elbow injury",1,0,350,Search: 'Battle Ropes proper form' for technique guidance
84,Assault Bike,Full Body,Cardiovascular,Machine,Cardio,Intermediate,12.0,3,10-15,4,12-20,5,15-25,120,Shoulder injury (use legs only mode),1,0,420,Search: 'Assault Bike proper form' for technique guidance
85,StairMaster,Glutes,"Quadriceps, Cardiovascular",Machine,Cardio,Beginner,7.5,3,10-15,4,12-20,5,15-25,90,"Knee pain, Plantar fasciitis",0,0,262,Search: 'StairMaster proper form' for technique guidance
86,Sled Push,Quadriceps,"Glutes, Full Body",Sled,Power,Intermediate,9.0,3,10-15,4,12-20,5,15-25,120,"Knee injury, Lower back disc",0,0,315,Search: 'Sled Push proper form' for technique guidance
87,Power Clean,Full Body,"Traps, Hamstrings, Shoulders, Core",Barbell,Power,Advanced,10.0,3,10-15,4,12-20,5,15-25,180,"Wrist injury, Shoulder injury, Lower back disc",1,0,350,Search: 'Power Clean proper form' for technique guidance
88,Power Snatch,Full Body,"Shoulders, Traps, Core",Barbell,Power,Advanced,10.0,3,10-15,4,12-20,5,15-25,180,"Shoulder injury, Wrist injury",1,0,350,Search: 'Power Snatch proper form' for technique guidance
89,Clean and Jerk,Full Body,"Shoulders, Hips, Core",Barbell,Power,Advanced,11.0,3,10-15,4,12-20,5,15-25,180,"Shoulder injury, Wrist injury, Lower back disc",1,0,385,Search: 'Clean and Jerk proper form' for technique guidance
90,Hang Clean,Hamstrings,"Traps, Shoulders",Barbell,Power,Advanced,9.5,3,10-15,4,12-20,5,15-25,180,"Wrist injury, Lower back injury",0,0,332,Search: 'Hang Clean proper form' for technique guidance
91,Kettlebell Swing,Hamstrings,"Glutes, Core",Kettlebell,Power,Intermediate,8.0,3,10-15,4,12-20,5,15-25,120,"Lower back disc, Wrist injury, Shoulder injury",0,0,280,Search: 'Kettlebell Swing proper form' for technique guidance
92,Kettlebell Clean,Full Body,"Forearms, Core",Kettlebell,Power,Intermediate,8.5,3,10-15,4,12-20,5,15-25,120,"Wrist injury, Shoulder injury",1,0,298,Search: 'Kettlebell Clean proper form' for technique guidance
93,Kettlebell Snatch,Full Body,"Shoulders, Core",Kettlebell,Power,Advanced,10.0,3,10-15,4,12-20,5,15-25,180,"Shoulder injury, Wrist injury",1,0,350,Search: 'Kettlebell Snatch proper form' for technique guidance
94,Medicine Ball Slam,Core,"Shoulders, Full Body",Medicine Ball,Power,Beginner,9.0,3,10-15,4,12-20,5,15-25,90,Shoulder injury,0,0,315,Search: 'Medicine Ball Slam proper form' for technique guidance
95,Jump Squat,Quadriceps,"Glutes, Calves",None,Power,Intermediate,8.5,3,10-15,4,12-20,5,15-25,120,"Knee pain, Ankle injury, Lower back disc",0,1,298,Search: 'Jump Squat proper form' for technique guidance
96,Cat-Cow Stretch,Spine,Core,None,Mobility,Beginner,2.5,3,30s-60s,4,45s-90s,5,60s-120s,90,Severe neck injury,0,1,88,Search: 'Cat-Cow Stretch proper form' for technique guidance
97,Child's Pose,Lower Back,"Hips, Glutes",None,Flexibility,Beginner,2.0,3,30s-60s,4,45s-90s,5,60s-120s,90,Severe knee injury,0,1,70,Search: 'Child's Pose proper form' for technique guidance
98,Hip Flexor Stretch,Hip Flexors,Quads,None,Flexibility,Beginner,2.5,3,30s-60s,4,45s-90s,5,60s-120s,90,Knee pain (modify),0,1,88,Search: 'Hip Flexor Stretch proper form' for technique guidance
99,Pigeon Pose,Glutes,"Hip Flexors, Hip Rotators",None,Flexibility,Beginner,2.5,3,30s-60s,4,45s-90s,5,60s-120s,90,"Knee injury, Hip replacement",0,1,88,Search: 'Pigeon Pose proper form' for technique guidance
100,Doorway Chest Stretch,Chest,Front Delt,None,Flexibility,Beginner,2.0,3,30s-60s,4,45s-90s,5,60s-120s,90,Shoulder dislocation,0,1,70,Search: 'Doorway Chest Stretch proper form' for technique guidance
101,Seated Hamstring Stretch,Hamstrings,Lower Back,None,Flexibility,Beginner,2.0,3,30s-60s,4,45s-90s,5,60s-120s,90,Lower back disc (avoid if painful),0,1,70,Search: 'Seated Hamstring Stretch proper form' for technique guidance
102,Calf Stretch (wall),Gastrocnemius,Soleus,None,Flexibility,Beginner,2.0,3,30s-60s,4,45s-90s,5,60s-120s,90,Achilles tendinopathy (acute phase),0,1,70,Search: 'Calf Stretch (wall) proper form' for technique guidance
103,Thoracic Rotation,Thoracic Spine,Obliques,None,Mobility,Beginner,3.0,3,30s-60s,4,45s-90s,5,60s-120s,90,Severe spine injury,0,1,105,Search: 'Thoracic Rotation proper form' for technique guidance
104,World's Greatest Stretch,Full Body,"Hips, Thoracic, Hamstrings",None,Mobility,Beginner,3.5,3,30s-60s,4,45s-90s,5,60s-120s,90,"Knee injury, Lower back disc",1,1,122,Search: 'World's Greatest Stretch proper form' for technique guidance
105,Foam Roller ITB,IT Band,Quadriceps,Foam Roller,Recovery,Beginner,2.0,3,10-15,4,12-20,5,15-25,90,None,0,0,70,Search: 'Foam Roller ITB proper form' for technique guidance
106,Foam Roller Thoracic,Thoracic Spine,Upper Back,Foam Roller,Recovery,Beginner,2.0,3,10-15,4,12-20,5,15-25,90,Osteoporosis,0,0,70,Search: 'Foam Roller Thoracic proper form' for technique guidance
107,Ankle CARs,Ankle,Calf,None,Mobility,Beginner,2.0,3,30s-60s,4,45s-90s,5,60s-120s,90,Severe ankle fracture,0,1,70,Search: 'Ankle CARs proper form' for technique guidance
108,Hip CARs,Hip,"Glutes, Core",None,Mobility,Beginner,2.5,3,30s-60s,4,45s-90s,5,60s-120s,90,Hip replacement,0,1,88,Search: 'Hip CARs proper form' for technique guidance
109,Shoulder CARs,Shoulder,Rotator Cuff,None,Mobility,Beginner,2.5,3,30s-60s,4,45s-90s,5,60s-120s,90,Severe shoulder dislocation,0,1,88,Search: 'Shoulder CARs proper form' for technique guidance
110,Band Pull-Apart,Rear Delt,"Rhomboids, Traps",Resistance Band,Strength,Beginner,3.0,3,8-12,4,6-10,5,4-8,90,None,0,0,105,Search: 'Band Pull-Apart proper form' for technique guidance
111,Band Clamshell,Glutes,Hip Abductors,Resistance Band,Rehab,Beginner,3.0,3,10-15,4,12-20,5,15-25,90,None,0,0,105,Search: 'Band Clamshell proper form' for technique guidance
112,Band Lateral Walk,Glutes,"Hip Abductors, Quadriceps",Resistance Band,Rehab,Beginner,4.0,3,10-15,4,12-20,5,15-25,90,None,0,0,140,Search: 'Band Lateral Walk proper form' for technique guidance
113,Band External Rotation,Rotator Cuff,Rear Delt,Resistance Band,Rehab,Beginner,2.5,3,10-15,4,12-20,5,15-25,90,None,0,0,88,Search: 'Band External Rotation proper form' for technique guidance
114,Band Face Pull,Rear Delt,External Rotators,Resistance Band,Strength,Beginner,3.0,3,8-12,4,6-10,5,4-8,90,None,0,0,105,Search: 'Band Face Pull proper form' for technique guidance
115,Band Squat,Quadriceps,"Glutes, Hamstrings",Resistance Band,Strength,Beginner,5.0,3,8-12,4,6-10,5,4-8,90,Knee pain,0,0,175,Search: 'Band Squat proper form' for technique guidance
116,Band Good Morning,Hamstrings,"Lower Back, Glutes",Resistance Band,Strength,Beginner,4.5,3,8-12,4,6-10,5,4-8,90,Lower back disc,0,0,158,Search: 'Band Good Morning proper form' for technique guidance
117,Band Tricep Pushdown,Triceps,None,Resistance Band,Strength,Beginner,3.0,3,8-12,4,6-10,5,4-8,90,Elbow pain,0,0,105,Search: 'Band Tricep Pushdown proper form' for technique guidance
118,Band Bicep Curl,Biceps,Forearm,Resistance Band,Strength,Beginner,3.0,3,8-12,4,6-10,5,4-8,90,Elbow pain,0,0,105,Search: 'Band Bicep Curl proper form' for technique guidance
119,Bodyweight Squat,Quadriceps,"Glutes, Hamstrings",None,Strength,Beginner,5.0,3,8-12,4,6-10,5,4-8,90,Knee pain (limit depth),0,1,175,Search: 'Bodyweight Squat proper form' for technique guidance
120,Wall Squat (isometric),Quadriceps,Glutes,None,Rehab,Beginner,4.0,3,10-15,4,12-20,5,15-25,90,Severe knee injury,0,1,140,Search: 'Wall Squat (isometric) proper form' for technique guidance
121,Reverse Lunge,Quadriceps,"Glutes, Hamstrings",None,Strength,Beginner,5.5,3,8-12,4,6-10,5,4-8,90,"Knee pain, Hip flexor strain",0,1,192,Search: 'Reverse Lunge proper form' for technique guidance
122,Step-Up,Quadriceps,Glutes,Box/Bench,Strength,Beginner,6.0,3,8-12,4,6-10,5,4-8,90,Knee pain (use low step),0,0,210,Search: 'Step-Up proper form' for technique guidance
123,Nordic Hamstring Curl,Hamstrings,"Glutes, Calves",Partner/Machine,Strength,Advanced,6.5,3,8-12,4,6-10,5,4-8,180,"Hamstring Grade II+ strain, Knee injury",0,0,228,Search: 'Nordic Hamstring Curl proper form' for technique guidance
124,Inverted Row,Lats,"Biceps, Rear Delt",Bar,Strength,Beginner,5.5,3,8-12,4,6-10,5,4-8,90,None,0,0,192,Search: 'Inverted Row proper form' for technique guidance
125,Pike Push-Up,Shoulders,Triceps,None,Strength,Beginner,5.0,3,8-12,4,6-10,5,4-8,90,"Shoulder injury, Wrist pain",0,1,175,Search: 'Pike Push-Up proper form' for technique guidance
